alpha_deg,Fx,Fy,CL_pressure,CD_pressure
-1.500000000000000000e+01,2.672357112169265747e-02,3.392122685909271240e-03,6.784245371818542480e-03,5.344714224338531494e-02
-1.450000000000000000e+01,2.675939723849296570e-02,3.717429935932159424e-03,7.434859871864318848e-03,5.351879447698593140e-02
-1.400000000000000000e+01,2.679571509361267090e-02,4.040546715259552002e-03,8.081093430519104004e-03,5.359143018722534180e-02
-1.350000000000000000e+01,2.683251164853572845e-02,4.362486302852630615e-03,8.724972605705261230e-03,5.366502329707145691e-02
-1.300000000000000000e+01,2.686974406242370605e-02,4.684194922447204590e-03,9.368389844894409180e-03,5.373948812484741211e-02
-1.250000000000000000e+01,2.690734155476093292e-02,5.006648600101470947e-03,1.001329720020294189e-02,5.381468310952186584e-02
-1.200000000000000000e+01,2.694519981741905212e-02,5.330756306648254395e-03,1.066151261329650879e-02,5.389039963483810425e-02
-1.150000000000000000e+01,2.698319032788276672e-02,5.657397210597991943e-03,1.131479442119598389e-02,5.396638065576553345e-02
-1.100000000000000000e+01,2.702115103602409363e-02,5.987420678138732910e-03,1.197484135627746582e-02,5.404230207204818726e-02
-1.050000000000000000e+01,2.705890685319900513e-02,6.321631371974945068e-03,1.264326274394989014e-02,5.411781370639801025e-02
-1.000000000000000000e+01,2.709623798727989197e-02,6.660699844360351562e-03,1.332139968872070312e-02,5.419247597455978394e-02
-9.500000000000000000e+00,2.713292650878429413e-02,7.005259394645690918e-03,1.401051878929138184e-02,5.426585301756858826e-02
-9.000000000000000000e+00,2.716870978474617004e-02,7.355824112892150879e-03,1.471164822578430176e-02,5.433741956949234009e-02
-8.500000000000000000e+00,2.720332890748977661e-02,7.712885737419128418e-03,1.542577147483825684e-02,5.440665781497955322e-02
-8.000000000000000000e+00,2.723649889230728149e-02,8.076801896095275879e-03,1.615360379219055176e-02,5.447299778461456299e-02
-7.500000000000000000e+00,2.726791799068450928e-02,8.447751402854919434e-03,1.689550280570983887e-02,5.453583598136901855e-02
-7.000000000000000000e+00,2.729727886617183685e-02,8.825913071632385254e-03,1.765182614326477051e-02,5.459455773234367371e-02
-6.500000000000000000e+00,2.732426673173904419e-02,9.211264550685882568e-03,1.842252910137176514e-02,5.464853346347808838e-02
-6.000000000000000000e+00,2.734856493771076202e-02,9.603634476661682129e-03,1.920726895332336426e-02,5.469712987542152405e-02
-5.500000000000000000e+00,2.736984565854072571e-02,1.000285148620605469e-02,2.000570297241210938e-02,5.473969131708145142e-02
-5.000000000000000000e+00,2.738778851926326752e-02,1.040850579738616943e-02,2.081701159477233887e-02,5.477557703852653503e-02
-4.500000000000000000e+00,2.740207873284816742e-02,1.082011312246322632e-02,2.164022624492645264e-02,5.480415746569633484e-02
-4.000000000000000000e+00,2.741239964962005615e-02,1.123701781034469604e-02,2.247403562068939209e-02,5.482479929924011230e-02
-3.500000000000000000e+00,2.741845324635505676e-02,1.165855675935745239e-02,2.331711351871490479e-02,5.483690649271011353e-02
-3.000000000000000000e+00,2.741993777453899384e-02,1.208384335041046143e-02,2.416768670082092285e-02,5.483987554907798767e-02
-2.500000000000000000e+00,2.741656824946403503e-02,1.251193881034851074e-02,2.502387762069702148e-02,5.483313649892807007e-02
-2.000000000000000000e+00,2.740808390080928802e-02,1.294182240962982178e-02,2.588364481925964355e-02,5.481616780161857605e-02
-1.500000000000000000e+00,2.739422954618930817e-02,1.337233930826187134e-02,2.674467861652374268e-02,5.478845909237861633e-02
-1.000000000000000000e+00,2.737477049231529236e-02,1.380231231451034546e-02,2.760462462902069092e-02,5.474954098463058472e-02
-5.000000000000000000e-01,2.734949439764022827e-02,1.423043012619018555e-02,2.846086025238037109e-02,5.469898879528045654e-02
0.000000000000000000e+00,2.731819823384284973e-02,1.465540379285812378e-02,2.931080758571624756e-02,5.463639646768569946e-02
5.000000000000000000e-01,2.728070504963397980e-02,1.507588475942611694e-02,3.015176951885223389e-02,5.456141009926795959e-02
1.000000000000000000e+00,2.723685279488563538e-02,1.549044251441955566e-02,3.098088502883911133e-02,5.447370558977127075e-02
1.500000000000000000e+00,2.718650735914707184e-02,1.589772850275039673e-02,3.179545700550079346e-02,5.437301471829414368e-02
2.000000000000000000e+00,2.712954953312873840e-02,1.629632711410522461e-02,3.259265422821044922e-02,5.425909906625747681e-02
2.500000000000000000e+00,2.706588059663772583e-02,1.668482273817062378e-02,3.336964547634124756e-02,5.413176119327545166e-02
3.000000000000000000e+00,2.699541673064231873e-02,1.706185191869735718e-02,3.412370383739471436e-02,5.399083346128463745e-02
3.500000000000000000e+00,2.691809460520744324e-02,1.742609590291976929e-02,3.485219180583953857e-02,5.383618921041488647e-02
4.000000000000000000e+00,2.683387324213981628e-02,1.777622848749160767e-02,3.555245697498321533e-02,5.366774648427963257e-02
4.500000000000000000e+00,2.674272283911705017e-02,1.811112463474273682e-02,3.622224926948547363e-02,5.348544567823410034e-02
5.000000000000000000e+00,2.664463222026824951e-02,1.842951029539108276e-02,3.685902059078216553e-02,5.328926444053649902e-02
5.500000000000000000e+00,2.653960138559341431e-02,1.873031258583068848e-02,3.746062517166137695e-02,5.307920277118682861e-02
6.000000000000000000e+00,2.642764337360858917e-02,1.901249587535858154e-02,3.802499175071716309e-02,5.285528674721717834e-02
6.500000000000000000e+00,2.630878612399101257e-02,1.927518099546432495e-02,3.855036199092864990e-02,5.261757224798202515e-02
7.000000000000000000e+00,2.618307620286941528e-02,1.951748877763748169e-02,3.903497755527496338e-02,5.236615240573883057e-02
7.500000000000000000e+00,2.605056390166282654e-02,1.973864436149597168e-02,3.947728872299194336e-02,5.210112780332565308e-02
8.000000000000000000e+00,2.591130137443542480e-02,1.993805170059204102e-02,3.987610340118408203e-02,5.182260274887084961e-02
8.500000000000000000e+00,2.576537244021892548e-02,2.011506259441375732e-02,4.023012518882751465e-02,5.153074488043785095e-02
9.000000000000000000e+00,2.561285346746444702e-02,2.026929706335067749e-02,4.053859412670135498e-02,5.122570693492889404e-02
9.500000000000000000e+00,2.545383013784885406e-02,2.040033042430877686e-02,4.080066084861755371e-02,5.090766027569770813e-02
1.000000000000000000e+01,2.528840489685535431e-02,2.050790935754776001e-02,4.101581871509552002e-02,5.057680979371070862e-02
1.050000000000000000e+01,2.511667832732200623e-02,2.059185504913330078e-02,4.118371009826660156e-02,5.023335665464401245e-02
1.100000000000000000e+01,2.493877336382865906e-02,2.065210044384002686e-02,4.130420088768005371e-02,4.987754672765731812e-02
1.150000000000000000e+01,2.475480362772941589e-02,2.068860828876495361e-02,4.137721657752990723e-02,4.950960725545883179e-02
1.200000000000000000e+01,2.456490136682987213e-02,2.070152014493942261e-02,4.140304028987884521e-02,4.912980273365974426e-02
1.250000000000000000e+01,2.436919882893562317e-02,2.069093286991119385e-02,4.138186573982238770e-02,4.873839765787124634e-02
1.300000000000000000e+01,2.416784688830375671e-02,2.065713703632354736e-02,4.131427407264709473e-02,4.833569377660751343e-02
1.350000000000000000e+01,2.396098524332046509e-02,2.060047537088394165e-02,4.120095074176788330e-02,4.792197048664093018e-02
1.400000000000000000e+01,2.374877594411373138e-02,2.052132040262222290e-02,4.104264080524444580e-02,4.749755188822746277e-02
1.450000000000000000e+01,2.353138476610183716e-02,2.042014896869659424e-02,4.084029793739318848e-02,4.706276953220367432e-02
1.500000000000000000e+01,2.330898120999336243e-02,2.029743790626525879e-02,4.059487581253051758e-02,4.661796241998672485e-02
