alpha_deg,CL_xfoil_integrated,CDp_xfoil_integrated,CL_model,CDp_model,CL_error_model_minus_xfoil,CDp_error_model_minus_xfoil
-25.0,-0.5375354513220496,0.28268511699776316,-0.5381575869241007,0.28737828323771725,-0.0006221356020510438,0.004693166239954083
-24.5,-0.8590399037331582,0.4239892463888103,-0.8592784530150983,0.42806665565805435,-0.0002385492819401147,0.004077409269244048
-24.0,-0.5203940171376296,0.266580108754738,-0.5156352831551696,0.26751812302065225,0.004758733982459962,0.0009380142659142776
-23.5,-0.8262078552312576,0.3886477728310639,-0.8290770968216344,0.39579416845038673,-0.0028692415903768254,0.007146395619322843
-23.0,-14.595615135575084,5.706842132409465,-14.595044235067144,5.734822919467845,0.0005709005079399532,0.027980787058380585
-22.5,-0.49964738635600847,0.2382964036279205,-0.5060002528842745,0.24283925691062253,-0.006352866528266055,0.004542853282702014
-22.0,-8.213691695108293,3.1906824369073625,-8.20980221664293,3.206462438013653,0.003889478465364249,0.01578000110629052
-21.5,-0.48040775621663434,0.22336966330375727,-0.48413390832844705,0.22821127616377365,-0.0037261521118127083,0.004841612860016387
-21.0,-0.48058467686453465,0.2121976499484582,-0.48279467927958053,0.21605300433868294,-0.0022100024150458752,0.0038553543902247467
-20.5,-0.4675253538082005,0.20560346796331516,-0.46609725761401183,0.21010438789263014,0.001428096194188655,0.004500919929314978
-20.0,-0.45695193868835116,0.19892976364354698,-0.46593624068927564,0.20515122474008118,-0.008984302000924482,0.006221461096534209
-19.5,-0.44898908468798143,0.191142269432356,-0.4625222963780851,0.19683916569085802,-0.013533211690103686,0.005696896258502032
-19.0,-0.4583173461185713,0.1803565288751075,-0.45432937987146577,0.1875177102698904,0.003987966247105512,0.0071611813947828895
-18.5,-0.43595059338379355,0.17554943453931823,-0.4434513830057996,0.1785838555093315,-0.0075007896220060655,0.003034420970013274
-18.0,-0.42661916870046956,0.16904378021091312,-0.4319601516996074,0.17057901589819696,-0.005340982999137822,0.0015352356872838369
-17.5,-0.4304948375821153,0.15986217813146947,-0.42168410449186694,0.16367437004155463,0.00881073309024838,0.0038121919100851664
-17.0,-0.4233307559829536,0.15312062077054334,-0.41489927108100544,0.15791144120399755,0.008431484901948172,0.004790820433454218
-16.5,-0.40931190602646295,0.1482281817132282,-0.41531566151264154,0.1532868805784429,-0.006003755486178597,0.005058698865214678
-16.0,-0.40552590940588396,0.141671589051089,-0.4280991087313864,0.14981234882377756,-0.022573199325502447,0.00814075977268855
-15.5,-0.4259481892891787,0.13391837686638325,-0.45522507129129586,0.1477691332212363,-0.029276882002117144,0.013850756354853055
-15.0,-0.5730677220963417,0.1627433745956269,-0.48493510004474294,0.14749309638690944,0.08813262205159877,-0.015250278208717466
-14.5,-0.3959069723354519,0.12474624601637319,-0.49326457494064574,0.1460728633936253,-0.09735760260519383,0.02132661737725211
-14.0,-0.5277802717185982,0.15007981277331514,-0.4664394914971501,0.1382634505599648,0.06134078022144812,-0.011816362213350334
-13.5,-0.4027502869828654,0.11265174212823463,-0.41907876579529796,0.12543558897033824,-0.016328478812432545,0.01278384684210361
-13.0,-0.3945476060450143,0.10811287304756212,-0.39482437929984043,0.11406258571311634,-0.0002767732548261126,0.005949712665554219
-12.5,-0.43701922679239213,0.09675566348698188,-0.44066605653613955,0.10579266422941595,-0.003646829743747415,0.009037000742434076
-12.0,-0.5323124500389395,0.10525769744880954,-0.5210206226804386,0.10339385679467786,0.011291827358500872,-0.0018638406541316849
-11.5,-0.5059388270141995,0.10355059006773301,-0.5387475703275839,0.10883899416801214,-0.03280874331338446,0.005288404100279129
-11.0,-0.7090609926931475,0.039831665602689706,-0.697609428237338,0.04781340282142785,0.011451564455809526,0.007981737218738141
-10.5,-0.686375898782906,0.03914464055028803,-0.713715665349609,0.050911337842515725,-0.027339766566703005,0.011766697292227693
-10.0,-0.7950801045459103,0.02239985465240621,-0.7701398782420348,0.02910959535005865,0.02494022630387549,0.0067097406976524415
-9.5,-0.8008718337528736,0.016400777063945243,-0.7849018559521072,0.023662589425586023,0.015969977800766477,0.007261812361640779
-9.0,-0.774355459011897,0.015091619635777057,-0.7776404556578839,0.02238755464650906,-0.003284996645986915,0.007295935010732002
-8.5,-0.7557912793802092,0.01131815914731428,-0.7630982296156059,0.020172500903196458,-0.007306950235396736,0.008854341755882178
-8.0,-0.730614678627751,0.007764074302018004,-0.7409360955086042,0.01776202464474022,-0.010321416880853196,0.009997950342722217
-7.5,-0.6956291453971011,0.006686346151978981,-0.7091727968452821,0.015415269539772167,-0.013543651448181038,0.008728923387793186
-7.0,-0.658426416920238,0.00498779307770221,-0.6686500588433479,0.013115562269614078,-0.010223641923109983,0.008127769191911868
-6.5,-0.618813860968754,0.004171688971401327,-0.62024499334113,0.010950169282329551,-0.0014311323723760205,0.006778480310928224
-6.0,-0.576585577228388,0.0033139584781314985,-0.564454268771378,0.009151128921892314,0.012131308457009937,0.0058371704437608155
-5.5,-0.524232794572285,0.0028671039891901146,-0.5022601053615334,0.00795745118900957,0.021972689210751573,0.005090347199819455
-5.0,-0.4436304496411673,0.002683600035115495,-0.4351955924476493,0.007419117946713211,0.008434857193517997,0.004735517911597716
-4.5,-0.36186863176879097,0.00255721379027269,-0.3648218490530319,0.007352360069078731,-0.0029532172842409166,0.004795146278806041
-4.0,-0.2850397487521821,0.002529822766463439,-0.29240630142725743,0.007453106176231792,-0.007366552675075355,0.0049232834097683534
-3.5,-0.2101454751278682,0.0026303134261334103,-0.21887960641393556,0.007453141706006437,-0.00873413128606737,0.004822828279873027
-3.0,-0.13528643102767712,0.0028001319023648356,-0.1448994714589839,0.007222676990419823,-0.009613040431306785,0.004422545088054988
-2.5,-0.060919737523742,0.002959002198707202,-0.07098891122546533,0.006772597505317179,-0.010069173701723326,0.003813595306609977
-2.0,0.003277290311213933,0.003179779103791044,0.0023719298038795034,0.006193058009148049,-0.0009053605073344297,0.003013278905357005
-1.5,0.05890536724205112,0.0034437535431905064,0.07472673112473198,0.0055926174876375495,0.015821363882680857,0.002148863944447043
-1.0,0.11537804558523054,0.003731428022296216,0.1456353523391134,0.005061866040398107,0.030257306753882857,0.0013304380181018908
-0.5,0.18951069449449348,0.003989165783106687,0.21466074889240985,0.004655654284382585,0.02515005439791637,0.0006664885012758973
0.0,0.2809663712978363,0.004254390485584736,0.2813759446144104,0.004388480447232723,0.0004095733165740967,0.00013408996164798737
0.5,0.3752318965167304,0.004321034391775777,0.3453965683211016,0.004240341622748554,-0.029835328195628785,-8.069276902722324e-05
1.0,0.421585474734374,0.00426117771369278,0.4064457186767096,0.004171600992933185,-0.015139756057664433,-8.95767207595953e-05
1.5,0.46869601584200454,0.004301915874424113,0.4644015870767525,0.004138814523418428,-0.004294428765252045,-0.00016310135100568515
2.0,0.5159835323220922,0.004434195999142486,0.5193224669113286,0.004106447456276686,0.0033389345892363975,-0.00032774854286580016
2.5,0.5633277589577438,0.004636212009191582,0.5714358997865879,0.004050600183036421,0.008108140828844146,-0.0005856118261551614
3.0,0.610831510726175,0.0048714723604763276,0.6211162136284434,0.003958986036777235,0.01028470290226835,-0.0009124863236990924
3.5,0.6582563043374804,0.005129286165286927,0.6688497510153435,0.003829723915604731,0.010593446677863105,-0.0012995622496821957
4.0,0.7054966662450491,0.005399894853507614,0.7151672978930054,0.0036686989143008206,0.00967063164795623,-0.0017311959392067935
4.5,0.752557998559996,0.005677259700503583,0.7605482394212236,0.003486499320587068,0.007990240861227571,-0.002190760379916515
5.0,0.7994102712430972,0.0059576471564086325,0.8053025791799943,0.0032970929617419653,0.005892307936897101,-0.002660554194666667
5.5,0.8458229029607897,0.006229351850573148,0.8494558654883243,0.0031159729673704978,0.0036329625275346444,-0.00311337888320265
6.0,0.8913692212272432,0.006503643747197876,0.892705426579208,0.002967114850563085,0.0013362053519648809,-0.0035365288966347913
6.5,0.9354544923508601,0.006798154305597312,0.9344773567936454,0.0028893346408841863,-0.0009771355572146811,-0.003908819664713126
7.0,0.9764893744694213,0.007175656154026544,0.9741202279117458,0.0029447699435660862,-0.0023691465576755055,-0.004230886210460458
7.5,1.0138383440422505,0.007756984966684144,1.0111437708128652,0.003216379173090783,-0.0026945732293852664,-0.004540605793593361
8.0,1.0463264407804216,0.008643464096428466,1.0453427436572345,0.003778702051951216,-0.0009836971231871328,-0.00486476204447725
8.5,1.0765146663770306,0.009771844838167815,1.0767299912768113,0.004648562416827262,0.00021532489978071112,-0.0051232824213405526
9.0,1.1045365555363722,0.011002934209475845,1.1053911653364112,0.00574354541548,0.0008546098000390412,-0.005259388793995845
9.5,1.131664326223957,0.012254486062319131,1.1315143803703551,0.006908651208918037,-0.00014994585360184054,-0.0053458348534010935
10.0,1.1541945707056671,0.013607664965779531,1.1556407940403624,0.008003436841938188,0.0014462233346952402,-0.005604228123841343
10.5,1.1771319069613526,0.015096628605399093,1.1788175110245955,0.009009048478899134,0.0016856040632429181,-0.0060875801264999585
11.0,1.2026152893710833,0.016607710349737792,1.202144473281546,0.010086450146204434,-0.0004708160895372515,-0.006521260203533358
11.5,1.2282565554758775,0.01848058131751984,1.226103033073505,0.011478386939578283,-0.002153522402372543,-0.007002194377941556
12.0,1.2532637506241464,0.020231168249315007,1.250410423987798,0.013265581386135927,-0.0028533266363484078,-0.00696558686317908
12.5,1.2777025534672322,0.022676458220786733,1.2740616277470613,0.015256060069554156,-0.003640925720170829,-0.007420398151232577
13.0,1.292671277415982,0.025193626065458163,1.2948761534622077,0.017296123886251735,0.0022048760462256567,-0.007897502179206428
13.5,1.3212318587386174,0.027692755342472564,1.3090167935847543,0.01978542036450809,-0.012215065153863058,-0.007907334977964475
14.0,1.3131133927262555,0.032097269566086384,1.3116234742462796,0.02361988006353627,-0.0014899184799759269,-0.008477389502550114
14.5,1.2989875540303917,0.037525423174505634,1.2983895321250907,0.02909858714754815,-0.000598021905301005,-0.008426836026957485
15.0,1.2806154764523778,0.043897547304832696,1.2722088820027027,0.03389756692988427,-0.008406594449675175,-0.009999980374948425
15.5,1.260102731192002,0.05117980142025519,1.2368616644922668,0.042244663826130735,-0.023241066699735136,-0.008935137594124454
16.0,0.8867934074357046,0.16710912392552113,0.9190679675912411,0.16845818692575465,0.032274560155536536,0.001349063000233519
16.5,0.9819808627675437,0.13374704775800283,0.952012256460753,0.11946154428568725,-0.029968606306790657,-0.01428550347231558
17.0,1.0165631538991509,0.3074501103058518,1.040015384098422,0.3091306460612777,0.02345223019927123,0.001680535755425927
17.5,0.6365805241250739,0.16777923591151392,0.627639102734387,0.16490156606422418,-0.008941421390686877,-0.0028776698472897377
18.0,0.6737993298042204,0.16793998337993932,0.6652419932403538,0.16267144474693157,-0.008557336563866591,-0.005268538633007747
18.5,0.6375405191655859,0.18538729763467318,0.6446865251445215,0.18552017958479142,0.007146005978935666,0.00013288195011823545
19.0,0.646422992688138,0.19217321954305275,0.6409499560706573,0.18844513116100167,-0.005473036617480664,-0.0037280883820510757
19.5,0.6716149417217152,0.19589435732581534,0.6575287661497686,0.1898007123562319,-0.01408617557194658,-0.0060936449695834505
20.0,1.617093631830469,0.5491878375630495,1.6283975805461786,0.5471917976988419,0.01130394871570961,-0.0019960398642075994
20.5,0.6595219578027548,0.2177668571389807,0.6550319839742791,0.21352770204978166,-0.004489973828475713,-0.0042391550891990315
21.0,0.6709024697306465,0.22489406898503153,0.6689122613532262,0.22278982286652885,-0.001990208377420255,-0.002104246118502684
21.5,0.6614880662150313,0.238844634132564,0.6631612734548107,0.23602030099473817,0.001673207239779373,-0.0028243331378258185
22.0,0.677131019094199,0.24713251945842404,0.6757546582918451,0.2449262744279797,-0.0013763608023539264,-0.002206245030444337
22.5,0.678160701371017,0.25409941134905356,0.6808141779429341,0.25444421703581116,0.002653476571917057,0.0003448056867575988
23.0,0.6763883983712602,0.26697517205186005,0.6658855716997502,0.2593647054995399,-0.010502826671510035,-0.007610466552320172
23.5,0.679812436752439,0.27380615995960983,0.6842072807428198,0.27503565277897046,0.0043948439903808145,0.0012294928193606336
24.0,1.0321742500010427,0.4322718945142623,1.0285045558441182,0.4274890758475711,-0.00366969415692453,-0.004782818666691169
24.5,1.0899363727528344,0.44350531928348136,1.0885847959190345,0.44081350919483137,-0.001351576833799939,-0.002691810088649993
25.0,1.389214514013595,0.6021273900153072,1.3853298495785664,0.5973284180899674,-0.003884664435028551,-0.0047989719253398455